,Bedrooms,Bathrooms,HouseSize_sqft,Neighborhood,Condition,Price,New column
352,2.0,2.0,1398.9882541448765,Middle Class,Poor,821402.3593866142,356.0
353,3.0,3.0,1792.594745603044,Middle Class,Good,980495.6664954912,357.0
354,3.0,2.0,1684.5365444319448,Expensive Area,Poor,997428.4548349103,358.0
355,3.0,3.0,1929.087424135236,Expensive Area,Poor,1121219.5020395515,359.0
356,4.0,1.0,1469.1076225790707,Expensive Area,Poor,944331.5729557064,360.0
357,4.0,3.0,2007.738605696469,Middle Class,Poor,1045412.1461440502,361.0
358,4.0,2.0,2413.095565201031,Expensive Area,Poor,1444025.460350264,362.0
360,4.0,2.0,1960.684688839577,Low-Cost,Poor,993005.2774016844,364.0
361,3.0,3.0,2076.057596684445,Low-Cost,Fair,1048579.0984895115,365.0
362,4.0,2.0,1639.5118112456655,Middle Class,Poor,930346.9373062792,366.0
363,4.0,2.0,1889.6369927241667,Middle Class,Good,1139970.319577255,367.0
364,3.0,2.0,1805.0369603127176,Expensive Area,Fair,1085623.0997192247,368.0
365,4.0,2.0,1839.0704394195327,Low-Cost,Poor,970249.8317188933,369.0
366,2.0,2.0,1490.7960864578135,Middle Class,Good,837545.6593436736,370.0
367,4.0,3.0,1809.8040697035767,Low-Cost,Fair,939491.67875739,371.0
368,4.0,3.0,1999.19931649818,Low-Cost,Poor,1031101.4939145755,372.0
369,5.0,2.0,2380.4574431180167,Low-Cost,Poor,1206358.600992527,373.0
370,4.0,2.0,2183.7083304340827,Low-Cost,Poor,1120681.8516013492,374.0
371,5.0,4.0,2661.272983004623,Expensive Area,Poor,1538379.544020506,375.0
372,4.0,2.0,1493.0609748447805,Expensive Area,Poor,847665.7796402227,376.0
373,5.0,2.0,2148.9282546882714,Low-Cost,Fair,1110694.737905615,377.0
374,4.0,3.0,1873.3368022953407,Middle Class,Poor,1059843.646874467,378.0
375,6.0,3.0,2675.921173287069,Middle Class,Good,1449603.2652858042,379.0
377,3.0,2.0,1464.1112631276897,Middle Class,Good,871573.4500070408,381.0
378,4.0,3.0,1560.2429418223912,Low-Cost,Fair,846535.1176837618,382.0
379,1.0,1.0,950.4417102760772,Expensive Area,Poor,601512.4395895265,383.0
380,3.0,2.0,1589.6979913276955,Middle Class,Poor,896575.664711199,384.0
382,5.0,3.0,1936.702390310864,Middle Class,Fair,1078714.5589021896,387.0
383,5.0,4.0,2550.4683356863543,Low-Cost,Poor,1341582.5552303423,388.0
384,3.0,3.0,2180.16953527442,Middle Class,Fair,1285670.0422347714,389.0
385,2.0,2.0,1569.2385377350388,Expensive Area,Poor,955549.9045836864,390.0
386,4.0,2.0,1440.6341314606568,Low-Cost,Fair,1004516.6064958775,391.0
387,4.0,2.0,1996.7676686026025,Expensive Area,Poor,1178030.7994846196,392.0
388,3.0,1.0,1271.9067171917432,Low-Cost,Poor,620113.5748795959,393.0
389,5.0,3.0,2532.5835063417417,Low-Cost,Fair,1298620.254194002,394.0
390,5.0,3.0,2271.776048288514,Low-Cost,Fair,1192311.507486662,395.0
391,4.0,2.0,1612.3297391581182,Expensive Area,Poor,1012177.1225155604,396.0
392,3.0,2.0,1114.746188363649,Low-Cost,Fair,631303.1859078814,397.0
393,6.0,3.0,2341.5489496661653,Middle Class,Fair,1315946.1427658063,398.0
394,4.0,1.0,1814.0164028325507,Expensive Area,Fair,1046926.2740807764,399.0
395,4.0,3.0,2295.126524789385,Expensive Area,Good,1360911.443304716,400.0
397,4.0,2.0,1845.4069381004992,Middle Class,Fair,1002568.0813478756,402.0
398,4.0,2.0,1376.91562841764,Expensive Area,Poor,1004516.6064958775,403.0
399,5.0,3.0,2028.356204277267,Middle Class,Fair,1066774.0914551143,404.0
400,3.0,2.0,1668.9351413608929,Middle Class,Poor,912253.6644012794,405.0
